Attaching to new-crawler-1
new-crawler-1  | 2025-12-03 23:13:48,214 - new_crawler.config - INFO - Validating crawler configuration...
new-crawler-1  | 2025-12-03 23:13:48,228 - new_crawler.config - INFO - Redis connection validated: redis://redis:6379/0
new-crawler-1  | 2025-12-03 23:13:48,229 - new_crawler.config - INFO - GPU worker URL validated: http://host.docker.internal:8765
new-crawler-1  | 2025-12-03 23:13:48,229 - new_crawler.config - INFO - Configuration validated: crawlers=1, extractors=2, gpu_processors=1
new-crawler-1  | 2025-12-03 23:13:48,229 - new_crawler.config - INFO - === New Crawler Configuration ===
new-crawler-1  | 2025-12-03 23:13:48,230 - new_crawler.config - INFO - Environment: development
new-crawler-1  | 2025-12-03 23:13:48,230 - new_crawler.config - INFO - Log Level: error
new-crawler-1  | 2025-12-03 23:13:48,230 - new_crawler.config - INFO - Docker: True
new-crawler-1  | 2025-12-03 23:13:48,230 - new_crawler.config - INFO - Windows: False
new-crawler-1  | 2025-12-03 23:13:48,230 - new_crawler.config - INFO - Redis URL: redis://redis:6379/0
new-crawler-1  | 2025-12-03 23:13:48,231 - new_crawler.config - INFO - GPU Worker URL: http://host.docker.internal:8765
new-crawler-1  | 2025-12-03 23:13:48,231 - new_crawler.config - INFO - GPU Worker Host: http://host.docker.internal:8765
new-crawler-1  | 2025-12-03 23:13:48,231 - new_crawler.config - INFO - Batch Size: 256
new-crawler-1  | 2025-12-03 23:13:48,231 - new_crawler.config - INFO - GPU Min Batch Size: 64
new-crawler-1  | 2025-12-03 23:13:48,231 - new_crawler.config - INFO - Max Queue Depth: 128
new-crawler-1  | 2025-12-03 23:13:48,232 - new_crawler.config - INFO - Extractor Concurrency: 16
new-crawler-1  | 2025-12-03 23:13:48,232 - new_crawler.config - INFO - Max Concurrent Sites per Worker: 2
new-crawler-1  | 2025-12-03 23:13:48,232 - new_crawler.config - INFO - Max Concurrent Batches per Worker: 2
new-crawler-1  | 2025-12-03 23:13:48,232 - new_crawler.config - INFO - Batch Flush Timeout: 5.0s
new-crawler-1  | 2025-12-03 23:13:48,232 - new_crawler.config - INFO - Use 3x3 Mining: True
new-crawler-1  | 2025-12-03 23:13:48,232 - new_crawler.config - INFO - Max Selector Patterns: 30
new-crawler-1  | 2025-12-03 23:13:48,233 - new_crawler.config - INFO - HTTP Timeout: 30.0s
new-crawler-1  | 2025-12-03 23:13:48,233 - new_crawler.config - INFO - GPU Timeout: 60.0s
new-crawler-1  | 2025-12-03 23:13:48,233 - new_crawler.config - INFO - JS Wait Strategy: fixed
new-crawler-1  | 2025-12-03 23:13:48,233 - new_crawler.config - INFO - JS Wait Timeout: 5.0s
new-crawler-1  | 2025-12-03 23:13:48,233 - new_crawler.config - INFO - JS Network Idle Timeout: 30.0s
new-crawler-1  | 2025-12-03 23:13:48,234 - new_crawler.config - INFO - Extract Background Images: True
new-crawler-1  | 2025-12-03 23:13:48,234 - new_crawler.config - INFO - Extract Srcset Images: True
new-crawler-1  | 2025-12-03 23:13:48,234 - new_crawler.config - INFO - Extract Data Attributes: True
new-crawler-1  | 2025-12-03 23:13:48,235 - new_crawler.config - INFO - Same Origin Redirects Only: True
new-crawler-1  | 2025-12-03 23:13:48,236 - new_crawler.config - INFO - Blocklist Redirect Hosts: ['progress-tm.com', 'google.com']
new-crawler-1  | 2025-12-03 23:13:48,236 - new_crawler.config - INFO - Realistic Headers: True
new-crawler-1  | 2025-12-03 23:13:48,236 - new_crawler.config - INFO - JS Wait Selectors: img, picture source, noscript img, [style*="background-image"]
new-crawler-1  | 2025-12-03 23:13:48,237 - new_crawler.config - INFO - Capture Network Images: True
new-crawler-1  | 2025-12-03 23:13:48,237 - new_crawler.config - INFO - Extract Script Images: True
new-crawler-1  | 2025-12-03 23:13:48,238 - new_crawler.config - INFO - Extract Noscript Images: True
new-crawler-1  | 2025-12-03 23:13:48,239 - new_crawler.config - INFO - Extract JSON-LD Images: True
new-crawler-1  | 2025-12-03 23:13:48,241 - new_crawler.config - INFO - Cache TTL: 90 days
new-crawler-1  | 2025-12-03 23:13:48,242 - new_crawler.config - INFO - ================================
new-crawler-1  | 2025-12-03 23:13:48,243 - __main__ - INFO - Loaded 2 sites from sites.txt
new-crawler-1  | 2025-12-03 23:13:48,246 - __main__ - INFO - Starting crawl of 2 sites
new-crawler-1  | 2025-12-03 23:13:48,247 - __main__ - INFO - Performing system health check...
new-crawler-1  | 2025-12-03 23:13:48,251 - new_crawler.redis_manager - INFO - Redis connection successful
new-crawler-1  | 2025-12-03 23:13:48,252 - __main__ - INFO - Redis: ✓
new-crawler-1  | 2025-12-03 23:13:48,254 - __main__ - INFO - Cache: ✓
new-crawler-1  | 2025-12-03 23:13:48,518 - __main__ - INFO - Storage: ✓
new-crawler-1  | 2025-12-03 23:13:48,519 - new_crawler.gpu_interface - INFO - [GPU-INTERFACE] [TRACE] Creating httpx.AsyncClient - event loop exists: id=281472803534608
new-crawler-1  | 2025-12-03 23:13:48,520 - new_crawler.gpu_interface - INFO - [GPU-INTERFACE] [TRACE] Instantiating httpx.AsyncClient with base_url=http://host.docker.internal:8765
new-crawler-1  | 2025-12-03 23:13:48,540 - new_crawler.gpu_interface - INFO - [GPU-INTERFACE] [TRACE] httpx.AsyncClient created successfully, bound to event loop: id=281472803534608
new-crawler-1  | 2025-12-03 23:13:48,604 - httpx - INFO - HTTP Request: GET http://host.docker.internal:8765/health "HTTP/1.1 200 OK"
new-crawler-1  | 2025-12-03 23:13:48,605 - gpu_worker_0 - INFO - [GPU-WORKER-0] HEALTH-CHECK: OK
new-crawler-1  | 2025-12-03 23:13:48,605 - __main__ - INFO - GPU Worker: ✓
new-crawler-1  | 2025-12-03 23:13:48,605 - __main__ - INFO - ✓ All systems healthy
