 Container mordeaux-face-scanning-mvp-redis-1  Running
 Container mordeaux-face-scanning-mvp-postgres-1  Running
 Container mordeaux-face-scanning-mvp-minio-1  Running
Attaching to new-crawler-1
new-crawler-1  | 2025-10-29 10:59:47,050 - new_crawler.config - INFO - Validating crawler configuration...
new-crawler-1  | 2025-10-29 10:59:47,057 - new_crawler.config - INFO - Redis connection validated: redis://redis:6379/0
new-crawler-1  | 2025-10-29 10:59:47,057 - new_crawler.config - INFO - GPU worker URL validated: http://host.docker.internal:8765
new-crawler-1  | 2025-10-29 10:59:47,057 - new_crawler.config - INFO - Configuration validated: crawlers=2, extractors=4, gpu_processors=1
new-crawler-1  | 2025-10-29 10:59:47,058 - new_crawler.config - INFO - === New Crawler Configuration ===
new-crawler-1  | 2025-10-29 10:59:47,058 - new_crawler.config - INFO - Environment: development
new-crawler-1  | 2025-10-29 10:59:47,058 - new_crawler.config - INFO - Log Level: info
new-crawler-1  | 2025-10-29 10:59:47,058 - new_crawler.config - INFO - Docker: True
new-crawler-1  | 2025-10-29 10:59:47,058 - new_crawler.config - INFO - Windows: False
new-crawler-1  | 2025-10-29 10:59:47,058 - new_crawler.config - INFO - Redis URL: redis://redis:6379/0
new-crawler-1  | 2025-10-29 10:59:47,058 - new_crawler.config - INFO - GPU Worker URL: http://host.docker.internal:8765
new-crawler-1  | 2025-10-29 10:59:47,059 - new_crawler.config - INFO - GPU Worker Host: http://host.docker.internal:8765
new-crawler-1  | 2025-10-29 10:59:47,059 - new_crawler.config - INFO - Batch Size: 64
new-crawler-1  | 2025-10-29 10:59:47,059 - new_crawler.config - INFO - GPU Min Batch Size: 8
new-crawler-1  | 2025-10-29 10:59:47,059 - new_crawler.config - INFO - Max Queue Depth: 512
new-crawler-1  | 2025-10-29 10:59:47,059 - new_crawler.config - INFO - Extractor Concurrency: 16
new-crawler-1  | 2025-10-29 10:59:47,059 - new_crawler.config - INFO - Max Concurrent Sites per Worker: 4
new-crawler-1  | 2025-10-29 10:59:47,059 - new_crawler.config - INFO - Max Concurrent Batches per Worker: 2
new-crawler-1  | 2025-10-29 10:59:47,059 - new_crawler.config - INFO - Batch Flush Timeout: 5.0s
new-crawler-1  | 2025-10-29 10:59:47,059 - new_crawler.config - INFO - Use 3x3 Mining: True
new-crawler-1  | 2025-10-29 10:59:47,059 - new_crawler.config - INFO - Max Selector Patterns: 30
new-crawler-1  | 2025-10-29 10:59:47,060 - new_crawler.config - INFO - HTTP Timeout: 30.0s
new-crawler-1  | 2025-10-29 10:59:47,060 - new_crawler.config - INFO - GPU Timeout: 60.0s
new-crawler-1  | 2025-10-29 10:59:47,060 - new_crawler.config - INFO - JS Wait Strategy: both
new-crawler-1  | 2025-10-29 10:59:47,060 - new_crawler.config - INFO - JS Wait Timeout: 5.0s
new-crawler-1  | 2025-10-29 10:59:47,060 - new_crawler.config - INFO - JS Network Idle Timeout: 3.0s
new-crawler-1  | 2025-10-29 10:59:47,060 - new_crawler.config - INFO - Extract Background Images: True
new-crawler-1  | 2025-10-29 10:59:47,060 - new_crawler.config - INFO - Extract Srcset Images: True
new-crawler-1  | 2025-10-29 10:59:47,060 - new_crawler.config - INFO - Extract Data Attributes: True
new-crawler-1  | 2025-10-29 10:59:47,060 - new_crawler.config - INFO - Same Origin Redirects Only: True
new-crawler-1  | 2025-10-29 10:59:47,061 - new_crawler.config - INFO - Blocklist Redirect Hosts: ['progress-tm.com', 'google.com']
new-crawler-1  | 2025-10-29 10:59:47,061 - new_crawler.config - INFO - Realistic Headers: True
new-crawler-1  | 2025-10-29 10:59:47,061 - new_crawler.config - INFO - JS Wait Selectors: img, picture source, noscript img, [style*="background-image"]
new-crawler-1  | 2025-10-29 10:59:47,061 - new_crawler.config - INFO - Capture Network Images: True
new-crawler-1  | 2025-10-29 10:59:47,061 - new_crawler.config - INFO - Extract Script Images: True
new-crawler-1  | 2025-10-29 10:59:47,061 - new_crawler.config - INFO - Extract Noscript Images: True
new-crawler-1  | 2025-10-29 10:59:47,061 - new_crawler.config - INFO - Extract JSON-LD Images: True
new-crawler-1  | 2025-10-29 10:59:47,061 - new_crawler.config - INFO - Cache TTL: 90 days
new-crawler-1  | 2025-10-29 10:59:47,061 - new_crawler.config - INFO - ================================
new-crawler-1  | 2025-10-29 10:59:47,062 - __main__ - INFO - Loaded 7 sites from sites.txt
new-crawler-1  | 2025-10-29 10:59:47,062 - __main__ - INFO - Starting crawl of 7 sites
new-crawler-1  | 2025-10-29 10:59:47,062 - __main__ - INFO - Performing system health check...
new-crawler-1  | 2025-10-29 10:59:47,063 - new_crawler.redis_manager - INFO - Redis connection successful
new-crawler-1  | 2025-10-29 10:59:47,063 - __main__ - INFO - Redis: ✓
new-crawler-1  | 2025-10-29 10:59:47,064 - __main__ - INFO - Cache: ✓
new-crawler-1  | 2025-10-29 10:59:47,188 - __main__ - INFO - Storage: ✓
new-crawler-1  | 2025-10-29 10:59:47,331 - httpx - INFO - HTTP Request: GET http://host.docker.internal:8765/health "HTTP/1.1 200 OK"
new-crawler-1  | 2025-10-29 10:59:47,332 - gpu_worker_0 - INFO - [GPU-WORKER-0] HEALTH-CHECK: OK
new-crawler-1  | 2025-10-29 10:59:47,332 - __main__ - INFO - GPU Worker: ✓
new-crawler-1  | 2025-10-29 10:59:47,332 - __main__ - INFO - ✓ All systems healthy
new-crawler-1  | 2025-10-29 10:59:47,335 - new_crawler.orchestrator - INFO - Starting crawl of 7 sites
new-crawler-1  | 2025-10-29 10:59:47,336 - new_crawler.redis_manager - INFO - Cleared 0 crawler queues
new-crawler-1  | 2025-10-29 10:59:47,336 - new_crawler.orchestrator - INFO - Cleared shared batch accumulator
new-crawler-1  | 2025-10-29 10:59:47,336 - new_crawler.orchestrator - INFO - Pushing 7 sites to crawl queue
new-crawler-1  | 2025-10-29 10:59:47,337 - new_crawler.orchestrator - INFO - Successfully pushed 7 sites to queue
new-crawler-1  | 2025-10-29 10:59:47,338 - new_crawler.orchestrator - INFO - Checking GPU worker availability...
new-crawler-1  | 2025-10-29 10:59:47,338 - new_crawler.orchestrator - INFO - ✓ GPU worker is available
new-crawler-1  | 2025-10-29 10:59:47,338 - new_crawler.orchestrator - INFO - Starting worker processes...
new-crawler-1  | 2025-10-29 10:59:47,344 - new_crawler.orchestrator - INFO - Started crawler worker 0 (PID: 16)
new-crawler-1  | 2025-10-29 10:59:47,347 - new_crawler.orchestrator - INFO - Started crawler worker 1 (PID: 17)
new-crawler-1  | 2025-10-29 10:59:47,351 - new_crawler.orchestrator - INFO - Started extractor worker 0 (PID: 18)
new-crawler-1  | 2025-10-29 10:59:47,354 - new_crawler.orchestrator - INFO - Started extractor worker 1 (PID: 19)
new-crawler-1  | 2025-10-29 10:59:47,358 - new_crawler.orchestrator - INFO - Started extractor worker 2 (PID: 20)
new-crawler-1  | 2025-10-29 10:59:47,366 - new_crawler.orchestrator - INFO - Started extractor worker 3 (PID: 21)
new-crawler-1  | 2025-10-29 10:59:47,372 - new_crawler.orchestrator - INFO - Started GPU processor worker 0 (PID: 22)
new-crawler-1  | 2025-10-29 10:59:47,375 - new_crawler.orchestrator - INFO - Started 2 crawlers, 4 extractors, 1 GPU processors
new-crawler-1  | 2025-10-29 10:59:47,388 - GPU-Processor-0 - INFO - [GPU Processor 0] Starting GPU processor worker process
new-crawler-1  | 2025-10-29 10:59:47,391 - GPU-Processor-0 - INFO - [GPU Processor 0] Starting GPU processor worker with concurrent batch processing
new-crawler-1  | 2025-10-29 10:59:47,521 - Crawler-1 - INFO - [Crawler 1] Starting crawler worker process
new-crawler-1  | 2025-10-29 10:59:47,522 - Crawler-1 - INFO - [Crawler 1] Starting worker with concurrent site processing
new-crawler-1  | 2025-10-29 10:59:47,522 - Extractor-1 - INFO - [Extractor 1] Starting extractor worker process
new-crawler-1  | 2025-10-29 10:59:47,522 - Extractor-2 - INFO - [Extractor 2] Starting extractor worker process
new-crawler-1  | 2025-10-29 10:59:47,522 - Extractor-0 - INFO - [Extractor 0] Starting extractor worker process
new-crawler-1  | 2025-10-29 10:59:47,522 - Extractor-1 - INFO - [Extractor 1] Using shared batch with threshold: 64
new-crawler-1  | 2025-10-29 10:59:47,522 - Extractor-3 - INFO - [Extractor 3] Starting extractor worker process
new-crawler-1  | 2025-10-29 10:59:47,523 - Extractor-0 - INFO - [Extractor 0] Using shared batch with threshold: 64
new-crawler-1  | 2025-10-29 10:59:47,523 - Extractor-2 - INFO - [Extractor 2] Using shared batch with threshold: 64
new-crawler-1  | 2025-10-29 10:59:47,523 - Extractor-3 - INFO - [Extractor 3] Using shared batch with threshold: 64
new-crawler-1  | 2025-10-29 10:59:47,523 - Extractor-0 - INFO - [Extractor 0] Per-worker concurrency: 4 (total: 16)
new-crawler-1  | 2025-10-29 10:59:47,523 - Extractor-2 - INFO - [Extractor 2] Per-worker concurrency: 4 (total: 16)
new-crawler-1  | 2025-10-29 10:59:47,523 - Extractor-1 - INFO - [Extractor 1] Per-worker concurrency: 4 (total: 16)
new-crawler-1  | 2025-10-29 10:59:47,523 - Extractor-3 - INFO - [Extractor 3] Per-worker concurrency: 4 (total: 16)
